Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Business and its environment,Stakeholders in a business,1.5.2 The relative importance and influence of stakeholders on business activities: the impact of stakeholder aims on business decisions,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Stakeholders in a business,1.5.2 The relative importance and influence of stakeholders on business activities: how and why a business needs to be accountable to its stakeholders,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Stakeholders in a business,1.5.2 The relative importance and influence of stakeholders on business activities: how and why a business needs to be accountable to its stakeholders,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Stakeholders in a business,1.5.2 The relative importance and influence of stakeholders on business activities: how conflict might arise from stakeholders having different aims and objectives,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Stakeholders in a business,1.5.2 The relative importance and influence of stakeholders on business activities: how conflict might arise from stakeholders having different aims and objectives,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Stakeholders in a business,1.5.2 The relative importance and influence of stakeholders on business activities: how changing business objectives might affect its stakeholders,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Stakeholders in a business,1.5.2 The relative importance and influence of stakeholders on business activities: how changing business objectives might affect its stakeholders,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Human resource management,Human resource management (HRM),2.1.1 Purpose and roles of HRM: the role of HRM in meeting organisational objectives,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Human resource management,Human resource management (HRM),2.1.1 Purpose and roles of HRM: the role of HRM in meeting organisational objectives,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Human resource management,Human resource management (HRM),2.1.2 Workforce planning: the reasons for and role of a workforce plan,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
