Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Financial accounting (AS Level),Changing asset values,how to calculate depreciation using the reducing balance and straight-line methods,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Changing asset values,the most appropriate method of calculating depreciation,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Changing asset values,the most appropriate method of calculating depreciation,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Changing asset values,the most appropriate method of calculating depreciation,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Changing asset values,the most appropriate method of calculating depreciation,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Changing asset values,how to measure the value of non-current assets by the cost model or the revaluation model,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Changing asset values,how to measure the value of non-current assets by the cost model or the revaluation model,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Changing asset values,how to measure the value of non-current assets by the cost model or the revaluation model,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Changing asset values,how to measure the value of non-current assets by the cost model or the revaluation model,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Changing asset values,how to prepare ledger accounts and journal entries for: non-current assets (acquisition and revaluation); depreciation and disposal (including entries for part exchange),Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Changing asset values,how to prepare ledger accounts and journal entries for: non-current assets (acquisition and revaluation); depreciation and disposal (including entries for part exchange),Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Changing asset values,how to prepare ledger accounts and journal entries for: non-current assets (acquisition and revaluation); depreciation and disposal (including entries for part exchange),Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Changing asset values,how to prepare ledger accounts and journal entries for: non-current assets (acquisition and revaluation); depreciation and disposal (including entries for part exchange),Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Changing asset values,how to calculate profit or loss on disposal of a non-current asset,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Changing asset values,how to calculate profit or loss on disposal of a non-current asset,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Changing asset values,how to calculate profit or loss on disposal of a non-current asset,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Changing asset values,how to calculate profit or loss on disposal of a non-current asset,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Changing asset values,how to record the effect of a charge for depreciation in the statement of profit or loss and statement of financial position,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Changing asset values,how to record the effect of a charge for depreciation in the statement of profit or loss and statement of financial position,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Changing asset values,how to record the effect of a charge for depreciation in the statement of profit or loss and statement of financial position,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Changing asset values,how to record the effect of a charge for depreciation in the statement of profit or loss and statement of financial position,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Reconciliation and verification,the need to reconcile and verify ledger accounts using documentation from internal and external sources,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Reconciliation and verification,the need to reconcile and verify ledger accounts using documentation from internal and external sources,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Reconciliation and verification,the need to reconcile and verify ledger accounts using documentation from internal and external sources,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Reconciliation and verification,the need to reconcile and verify ledger accounts using documentation from internal and external sources,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Reconciliation and verification,the benefits and limitations of reconciliation and verification procedures,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Reconciliation and verification,the benefits and limitations of reconciliation and verification procedures,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Reconciliation and verification,the benefits and limitations of reconciliation and verification procedures,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
