Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.4 division of labour and specialisation,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.4 division of labour and specialisation,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.4 division of labour and specialisation,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.4 division of labour and specialisation,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.5 role of the entrepreneur in contemporary economies: risk and organisation of the other factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.5 role of the entrepreneur in contemporary economies: risk and organisation of the other factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.5 role of the entrepreneur in contemporary economies: risk and organisation of the other factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.5 role of the entrepreneur in contemporary economies: risk and organisation of the other factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.4 Resource allocation in different economic systems,"1.4.1 decision-making in market, planned and mixed economies",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.4 Resource allocation in different economic systems,"1.4.1 decision-making in market, planned and mixed economies",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
